gene	disease_1	disease_2	disease_3	disease_4	disease_5	disease_6	disease_7	disease_8	disease_9	disease_10	disease_11	disease_12	disease_13	disease_14	disease_15
10660	MIM604255														
10661	MIM111150	MIM600599	MIM613566	MIM613673											
10663	MIM605163														
10664	MIM604167														
10666	MIM605397														
10667	MIM611592														
10668	MIM606138														
10669	MIM606137														
10670	MIM612194														
10671	MIM612963														
10672	MIM604406														
10673	MIM603969														
10674	MIM126800														
10675	MIM606775														
10677	MIM613397														
10678	MIM605581														
1068	MIM603187														
10681	MIM604447														
10682	MIM300205	MIM302960													
10683	MIM277300	MIM602768													
10686	MIM248250	MIM603959													
10687	MIM603970														
1069	MIM300006														
10690	MIM606865														
10691	MIM604409														
10692	MIM605224														
10693	MIM610730														
10695	MIM610774														
10699	MIM605236	MIM614595													
107	MIM103072														
1070	MIM602907														
1071	MIM118470	MIM143470													
10713	MIM611594														
10714	MIM611415														
10715	MIM606919														
10716	MIM604616														
10717	MIM607245	MIM614066													
10718	MIM605533														
1072	MIM601442														
10720	MIM603064														
10721	MIM604419														
10723	MIM604879														
10724	MIM604039														
10725	MIM604708														
10726	MIM610325														
10728	MIM607061														
